((EUG-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N043.45.32.967 W122.30.15.663 N043.45.33.428 W122.30.09.185 RVM 
                          N043.45.33.428 W122.30.09.185 N043.45.45.420 W122.30.09.185 RVM 
                          N043.45.09.443 W122.29.35.982 N043.45.09.441 W122.29.19.380 RVM 
                          N043.44.45.460 W122.30.09.185 N043.44.33.468 W122.30.09.185 RVM 
                          N043.45.09.443 W122.30.42.388 N043.45.09.441 W122.30.58.990 RVM 
    ; runways                                                   
                          N044.07.58.705 W123.12.09.827 N044.06.59.459 W123.12.08.949 RVM 
                          N044.08.07.611 W123.13.08.936 N044.06.48.524 W123.13.07.740 RVM 
                          N044.30.12.447 W123.17.27.879 N044.29.14.618 W123.17.37.742 RVM 
                          N044.30.07.037 W123.17.30.385 N044.29.53.944 W123.16.45.024 RVM 
    ; KEUG ILS RWY 16R AMDT 36                                  
    ; KEUG 16R centerline                                       
                          N044.09.07.567 W123.13.09.842 N044.10.07.523 W123.13.10.750 RVM 
                          N044.11.07.479 W123.13.11.657 N044.12.07.435 W123.13.12.565 RVM 
                          N044.13.07.391 W123.13.13.474 N044.14.07.347 W123.13.14.383 RVM 
                          N044.15.07.303 W123.13.15.293 N044.16.07.259 W123.13.16.203 RVM 
                          N044.17.07.215 W123.13.17.114 N044.18.07.171 W123.13.18.025 RVM 
                          N044.19.07.127 W123.13.18.937 N044.20.07.083 W123.13.19.850 RVM 
                          N044.21.07.038 W123.13.20.762 N044.22.06.994 W123.13.21.676 RVM 
                          N044.23.06.950 W123.13.22.590 N044.24.06.906 W123.13.23.504 RVM 
                          N044.25.06.862 W123.13.24.419 N044.26.06.818 W123.13.25.335 RVM 
    ; MACTA                                                    
    ; KEUG 16R center cross at MACTA                            
                          N044.13.06.537 W123.14.01.988 N044.13.07.291 W123.12.24.946 RVM 
    ; HOCUM                                                    
    ; KEUG 16R center cross at HOCUM                            
                          N044.24.56.238 W123.14.12.947 N044.24.56.993 W123.12.35.578 RVM 
    ; KEUG 16L centerline                                       
                          N044.08.58.661 W123.12.10.716 N044.09.58.617 W123.12.11.605 RVM 
                          N044.10.58.573 W123.12.12.495 N044.11.58.529 W123.12.13.385 RVM 
                          N044.12.58.486 W123.12.14.276 N044.13.58.442 W123.12.15.168 RVM 
                          N044.14.58.398 W123.12.16.059 N044.15.58.354 W123.12.16.952 RVM 
                          N044.16.58.310 W123.12.17.844 N044.17.58.266 W123.12.18.738 RVM 
                          N044.18.58.222 W123.12.19.632 N044.19.58.178 W123.12.20.526 RVM 
                          N044.20.58.134 W123.12.21.421 N044.21.58.090 W123.12.22.316 RVM 
                          N044.22.58.046 W123.12.23.212 N044.23.58.003 W123.12.24.108 RVM 
    ; KEUG 16L center cross at FIPMA                            
                          N044.22.58.316 W123.13.11.879 N044.22.59.055 W123.11.34.564 RVM 
    ; KEUG 16L center cross at ZUNAX                            
                          N044.12.56.876 W123.13.02.777 N044.12.57.615 W123.11.25.739 RVM 
    ; EUG VORTAC final approach course 168 from 4.0 to 13.0      
                          N044.12.12.119 W123.12.23.982 N044.13.11.493 W123.12.12.322 RVM 
                          N044.14.10.867 W123.12.00.656 N044.15.10.240 W123.11.48.982 RVM 
                          N044.16.09.614 W123.11.37.303 N044.17.08.986 W123.11.25.616 RVM 
                          N044.18.08.359 W123.11.13.924 N044.19.07.731 W123.11.02.224 RVM 
    ; EUG VORTAC final approach Full cross at 12.0               
